Description,Brand,Model,S/N,Quantity,Remark
Gooseneck Microphone,Shure,MX412,,16,
Gooseneck Microphone,ERATHWORKS AUDIO,FMR-720,62420,1,
Gooseneck Microphone,ERATHWORKS AUDIO,FMR-720,62480,1,
Gooseneck Microphone,EV,RE90P-18,,6,
Gooseneck Microphone,AKG,GN50,DH1835-007398 GN50 EPS,1,
Gooseneck Microphone,AKG,GN50,DH1835-007355 GN50 EPS,1,
Gooseneck Microphone,AKG,GN50,DH1835-007422 GN50 EPS,1,
Gooseneck Microphone,AKG,GN30,GN30 E1,1,
Gooseneck Microphone,AKG,GN30,GN30 E2,1,
Gooseneck Microphone,AKG,GN30,GN30 E3,1,
